import adsk.core; app=adsk.core.Application.get(); ui=app.userInterface; print('FUSION_COMMAND_CATALOG_BEGIN'); print(chr(10).join([ui.commandDefinitions.item(i).id+chr(9)+ui.commandDefinitions.item(i).name for i in range(ui.commandDefinitions.count)])); print('FUSION_COMMAND_CATALOG_END') 
FUSION_COMMAND_CATALOG_BEGIN
AlertCommand	Alert
ConfigurePlasticRuleCmd	Configure PLastic Rule
DeletePhysicalMaterialThemeTableCmd	Delete Physical Material Theme Table
DeletePlasticRuleThemeTableCmd	Delete Plastic Rule Theme Table
DeleteSheetMetalThemeTableCmd	Delete Sheet Metal Theme Table
ConfigureAspectsCmd	Configure Aspects For Parent Table
AddAspectsToThemeTableCmd	Add Aspects to Theme Table
DesignConfigurationRenameRowCmd	Rename Config
DesignConfigurationDeleteRowCmd	Delete Config
DesignConfigurationCopyRowCmd	Copy to New Config
DesignConfigurationAddRowCmd	Add Configuration
DesignConfigurationToolbarCmd	End Configuration Mode
RefreshConfigurationFactoryNameCmd	Refresh configuration factory name
DesignConfigurationUpdateNestedRowNameCmd	Refresh row name in nested configuration
FusionComputeMinimumCommand	ComputeMinimum
UpdateXRefCommand	Associative Insert Update
FusionComputeUnresolvedCommand	Compute Unresolved
XRefsBUComputeCmd	Assembly Compute
ChangeParameterCommand	Change Parameters
OpenParameterDialogInConfigModeCmd	Open Parameters Dialog in Configuration Mode
ConfigureUserParameterCmd	Configure User Parameter
FusionReorderCommand	Reorder Features
ConvertToDMFeatureCommand	Convert to DM Feature
ConvertToPMFeatureCommand	Convert to Parametric
ConvertToDMDesignCommand	Change to Direct Modeling
FusionDumpGraphCommand	Dump Dependency Graph
FusionLookupErrInfoCommand	Review warning
SoftDeleteCommand	Remove
BaseFeatureStop	Finish Base Feature
BaseFeatureActivate	Edit
BaseFeatureCreationCommand	Create Base Feature
TSplineBaseFeatureStop	Finish Form
TSplineBaseFeatureActivate	Edit
TSplineBaseFeatureCreationCommand	Create Form
MeshBaseFeatureStop	Finish Mesh
MeshBaseFeatureActivate	Edit
MeshBaseFeatureCreationCommand	Create Mesh
ShowInLocationCmd	Show In Location
FusionRollCommand	Roll Timeline Marker Here
FusionFindInTimeline	Find in Timeline
FusionTrimFeaturesCommand	Delete all features after History Marker
FusionExpandGroupFeatureCommand	Expand Group
FusionCreateGroupFeatureCommand	Create Group
FusionCollapseGroupFeatureCommand	Collapse Group
SnapshotCmd	Capture Position
SnapshotActivate	Edit
SnapshotEditAccept	Finish Position
SnapshotEditCancel	Cancel Position
AsBuiltPositionsCmd	Revert Position
FusionSuppressCommand	Suppress Features
FusionUnsuppressCommand	Unsuppress Features
FusionFastenersCommand	Insert Fastener
FastenersStackUpdateCmd	Auto Update Size
FastenersAllStacksUpdateCmd	Auto Update All Sizes
FastenersInsertSimilar	Insert Similar Fastener
FastenersEditCommand	Edit Fastener
FastenersReplaceCommand	Replace Fastener
ResolveFastenerCommand	Resolve Fastener
JointOrigin	Joint Origin
JointAssembleCmdNew	Joint
TransitionalRelationshipCmd	Tangent Relationship
RigidGroupCmd	Rigid Group
EditRigidGroupCmd	Edit Rigid Group 
DcEditJointAssembleCmd	Edit Joint 
DcEditRigidGroupCmd	Edit Rigid Group 
EditJointAssembleCmd	Edit Joint 
